Level_Name,total_arrows,total_edges,max_in_degree,edges_per_arrow,dependency_density,has_cycle_bool,critical_nodes,critical_edges,avg_row_blockers,avg_col_blockers,crowded_rows,crowded_cols,
lv24.json,32,53,7,1.65625,0.05342741935,FALSE,8,11,6.4,8,20,15,
lv25.json,40,115,13,2.875,0.07371794872,FALSE,14,25,6.454545455,9.6,19,15,x
lv26.json,25,61,7,2.44,0.1016666667,FALSE,13,23,7.444444444,6.142857143,18,14,
lv27.json,44,147,10,3.340909091,0.07769556025,FALSE,15,43,8.272727273,8.941176471,22,17,x
lv28.json,32,92,8,2.875,0.09274193548,FALSE,14,37,7.09375,5.846153846,31,23,
lv29.json,42,124,12,2.952380952,0.07200929152,FALSE,17,34,7.173913043,8.277777778,23,18,
lv30.json,52,145,12,2.788461538,0.05467571644,FALSE,12,20,8.827586207,11.08695652,29,23,x
lv35.json,56,188,16,3.357142857,0.06103896104,FALSE,18,43,9.066666667,12.375,30,24,x
lv36.json,29,63,7,2.172413793,0.0775862069,FALSE,10,16,5.933333333,7,15,13,
lv37.json,41,85,7,2.073170732,0.05182926829,FALSE,12,22,7.055555556,6.375,16,12,
lv38.json,34,90,8,2.647058824,0.08021390374,FALSE,7,14,6.727272727,9.133333333,22,15,
lv39.json,39,124,10,3.179487179,0.08367071525,FALSE,16,37,7.947368421,8.25,19,16,
lv40.json,59,179,12,3.033898305,0.05230859147,FALSE,10,14,10.12,10.21052632,25,19,
lv41.json,38,93,8,2.447368421,0.06614509246,FALSE,10,15,7.444444444,8.533333333,18,15,
lv42.json,45,91,9,2.022222222,0.04595959596,FALSE,7,11,6.25,7.411764706,18,13,
lv43.json,52,158,12,3.038461538,0.05957767722,FALSE,15,28,9.125,10.05882353,24,17,
lv44.json,37,107,13,2.891891892,0.08033033033,FALSE,10,16,7.888888889,8.25,18,16,
lv45.json,48,162,8,3.375,0.07180851064,FALSE,18,41,12,8.826086957,23,23,x
lv47.json,40,123,14,3.075,0.07884615385,FALSE,15,33,7.590909091,9.130434783,17,21,
lv51.json,48,166,13,3.458333333,0.07358156028,FALSE,19,45,8.681818182,9.444444444,22,18,x
lv53.json,40,103,14,2.575,0.06602564103,FALSE,12,22,7.652173913,9.75,23,20,
lv54.json,63,235,13,3.73015873,0.06016385049,FALSE,24,57,8.866666667,12.54166667,28,24,x
lv55.json,50,113,9,2.26,0.04612244898,FALSE,13,23,8.222222222,6.517241379,22,19,x
lv56.json,51,166,11,3.254901961,0.06509803922,FALSE,19,46,8.92,9.25,25,20,x
lv57.json,60,228,11,3.8,0.06440677966,FALSE,19,39,9.375,8.84,23,22,
lv58.json,53,212,21,4,0.07692307692,FALSE,24,69,10.34482759,10.96296296,27,26,x
lv59.json,46,136,13,2.956521739,0.06570048309,FALSE,17,28,8.5,8.5,22,18,
lv60.json,71,273,19,3.845070423,0.05492957746,FALSE,21,58,9.545454545,12.12,32,25,x
lv65.json,78,322,15,4.128205128,0.05361305361,FALSE,37,102,9.166666667,9.6,24,21,x
lv71.json,55,164,14,2.981818182,0.05521885522,FALSE,15,30,7.96,8.285714286,23,13,
lv72.json,60,214,15,3.566666667,0.0604519774,FALSE,29,78,7.24137931,11.17391304,20,21,x
lv73.json,69,273,15,3.956521739,0.05818414322,FALSE,23,58,11.03571429,11.40909091,25,19,x
lv74.json,65,277,23,4.261538462,0.06658653846,FALSE,25,62,10.6,12.6,28,25,x
lv75.json,74,275,15,3.716216216,0.05090707146,FALSE,24,54,8.84,11.04,16,22,x
lv76.json,64,254,17,3.96875,0.06299603175,FALSE,20,38,8.8,15,27,24,
lv78.json,62,265,21,4.274193548,0.07006874669,FALSE,26,66,9.814814815,10.04545455,25,21,
lv79.json,57,207,14,3.631578947,0.06484962406,FALSE,21,50,6.866666667,10.30769231,23,22,
lv82.json,73,297,23,4.068493151,0.05650684932,FALSE,19,39,11.13333333,13.125,29,23,x
lv83.json,56,249,24,4.446428571,0.08084415584,FALSE,23,58,9.181818182,10.28,17,21,
lv84.json,34,97,10,2.852941176,0.08645276292,FALSE,15,31,7.15,10.75,20,20,
lv85.json,72,277,15,3.847222222,0.05418622848,FALSE,20,46,9.620689655,14.08695652,26,23,x
lv86.json,53,188,15,3.547169811,0.06821480406,FALSE,19,37,8.583333333,10.04761905,24,21,
lv87.json,64,285,13,4.453125,0.07068452381,FALSE,26,77,7.866666667,11.15384615,23,20,x
lv88.json,58,238,15,4.103448276,0.07199032063,FALSE,27,70,10.75,12.72727273,27,21,
lv89.json,75,308,17,4.106666667,0.0554954955,FALSE,38,112,8.724137931,12.18181818,25,18,x
lv90.json,48,162,8,3.375,0.07180851064,FALSE,18,41,12,8.826086957,23,23,
lv91.json,62,219,14,3.532258065,0.05790586991,FALSE,20,42,8.92,8.88,20,18,
lv92.json,65,268,16,4.123076923,0.06442307692,FALSE,22,56,8.866666667,13.875,26,24,
lv93.json,78,309,13,3.961538462,0.05144855145,FALSE,35,94,11.13793103,12.30434783,28,23,
lv95.json,42,130,12,3.095238095,0.07549361208,FALSE,15,34,6.458333333,8.24,19,19,
lv98.json,76,285,12,3.75,0.05,FALSE,27,62,8.689655172,12.34782609,24,21,
lv99.json,57,177,14,3.105263158,0.05545112782,FALSE,17,30,7.466666667,9.25,20,21,
